"","Area","Item","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"17073","India","Garlic",370700,355800,306000,403200,475300,437900,484400,570700,495300,524600,496800,5e+05,457000,691100,646600,598200,776300,1068500,831100,833970,1057800,1228000,1259000,1252000,1425000
"17076","India","Ginger",183000,201600,186200,171200,171000,232500,252000,263000,263200,235000,230000,267303,280200,301900,359000,391200,393400,390080,380100,385330,702000,756000,683000,655000,760000
"17079","India","Grapefruit (inc. pomelos)",70000,75000,85000,90000,96500,105000,106000,110000,124000,130000,130000,140000,142000,145000,148000,158000,178000,2e+05,216000,260600,196000,322500,285300,248500,260500
"17082","India","Grapes",412530,653163,7e+05,7e+05,7e+05,8e+05,810000,970000,1083000,1130000,1060000,1184200,1247800,1474800,1564700,1649600,1685300,1735000,1878000,880700,1235000,2221000,2483000,2585340,2602000
"17085","India","Groundnuts, with shell",7094600,8565000,7830000,8062000,7579000,8643000,7370000,8981600,5258100,6480300,7027500,4121100,8126500,6774400,7993300,4863500,9182500,7168100,5428500,8265000,6964000,4695000,9472000,7402000,6771000
"17088","India","Hemp tow waste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17091","India","Jute",1608500,1349100,1324800,1439500,1381500,1793000,1793000,1590570,1695834,1677060,1905102,1853838,1845000,1692000,1795000,1857000,1840000,1734000,2021500,1799100,1960380,1912000,1944000,1968000,1789200
"17094","India","Lemons and limes",8e+05,7e+05,930000,923700,970100,920000,1048400,1101300,1259800,1491500,1377200,1413700,1439600,1493300,1033100,2159000,2310200,2501700,2571530,2629200,2108000,2272100,2523500,2835020,2950000
"17097","India","Lentils",851400,801700,790800,748000,783800,713700,962000,803900,937800,1078900,915200,974400,873200,1037800,994200,946200,910000,810000,953300,1031600,943800,1058700,1134000,1020000,1035000
"17101","India","Lettuce and chicory",731158,732000,735000,755000,760000,765000,767123,770000,780000,785000,790000,804252,820388,837901,856346,916552,942934,970529,997847,1023749,1047955,1075000,1080000,1096663,1085373
"17104","India","Linseed",332000,292000,278000,330000,322600,291900,308600,237400,264900,240800,203500,209100,176700,196500,169700,172500,167900,163000,169200,153700,147000,152000,147000,141730,155000
"17108","India","Maize",8064400,9992100,9601000,8884400,9534000,10769000,10816000,11147700,11509600,12043200,13160200,11151700,14984300,14172000,14709900,15097000,18955400,19731400,16719500,21725800,21760000,22260000,24259510,24170000,22570000
"17112","India","Mangoes, mangosteens, guavas",8752134,9223256,10110000,10990000,1.1e+07,10845995,1.1e+07,10230000,9781700,10503500,10056800,10020200,12733200,11490000,11829700,12663100,13734000,13997000,12750000,15026700,15188000,16196000,18002000,18431330,18527000
"17115","India","Melons, other (inc.cantaloupes)",633000,620000,625000,630000,635000,640000,646477,645869,648577,645000,657376,665209,673478,759003,792755,819937,848188,876470,904488,932084,959130,1e+06,1e+06,1033178,1018278
"17118","India","Millet",8128900,12280900,8488400,10299300,8661100,10940500,10376200,10234500,8689900,10077800,11235300,6493900,14638800,10841300,10509200,10346900,12673000,11371800,8776800,13293000,12660000,10750000,10910000,11420000,11630000
"17120","India","Mushrooms and truffles",4000,10000,12000,16000,18000,16000,9000,13500,14000,24000,30000,40000,40000,40000,40000,35000,37000,37000,37000,40600,40600,30000,17000,28000,33699
"17123","India","Nutmeg, mace and cardamoms",9520,9210,10870,10700,11700,12600,11700,9000,10700,14500,15200,15400,16700,16900,17800,17000,13650,15450,15720,15700,15816,18070,16565,21000,22000
"17126","India","Oilseeds nes",179500,162000,196000,190000,190000,151800,162200,164000,140000,110000,130000,86000,109000,112000,108000,121000,110000,117000,1e+05,108000,98000,102000,98000,76000,74000
"17129","India","Okra",2327000,2400000,2405000,3030000,3900000,3800000,3700000,3210000,3380000,3420000,3340000,3320000,3530000,3631400,3512400,3974600,4070000,4179000,4528000,4803000,5784000,6259000,6350000,6346370,5709000
"17132","India","Onions, dry",3584700,3490000,4010000,4040000,4080000,4180000,3200000,5331900,4899500,4721100,5252100,4209500,6267600,7760600,9432500,10847000,13900000,13565000,12158800,15118000,17511090,16813000,19299000,19401680,18927000
"17135","India","Oranges",1890000,1330000,1895000,1883200,1595200,2041300,2564000,2354200,2446800,2674700,2574700,2870500,1921900,3263200,3314000,3437400,4266900,4860300,5201350,5966400,4571000,4360400,6426200,7317610,7693000
"17138","India","Papayas",805300,803617,1266720,1373460,1329670,1299330,1618490,1582270,1666470,1796960,2590400,2147200,1692100,2535100,2139300,2482100,2909000,3629000,3913500,4196000,4457100,5382000,5544000,5639300,4913000
"17141","India","Peaches and nectarines",75000,80000,83000,85000,89000,95000,1e+05,101000,114000,120000,150000,159749,175407,190533,193687,204381,220108,227112,233510,244000,243000,250000,250000,260000,267396
"17144","India","Pears",115000,120000,130000,137923,140000,150000,153000,158000,178000,188000,2e+05,212831,226403,240097,254815,268085,284434,295285,305363,336000,335000,340000,325000,316700,303000
"17147","India","Peas, dry",604900,552200,549500,640300,666500,639200,721300,661100,705000,814800,563200,607600,591500,725200,785600,709900,598900,457700,658200,674700,593200,692400,825100,908200,1058300
"17151","India","Peas, green",2106000,2100000,2150000,2400000,2500000,2e+06,2200000,2420000,2700000,2710000,3010000,2040000,2061800,1901200,1944800,2270000,2402000,2491000,2916000,3029400,3517000,3744800,4006200,3868630,4652000
"17154","India","Pepper (piper spp.)",47950,52010,50760,51300,60700,61580,56000,57000,76000,59000,64000,62000,64000,73190,73020,92900,69000,47010,47400,51020,52000,41000,53000,51000,65000
"17157","India","Pigeon peas",2416800,2133000,2331000,2692000,2144000,2309000,2655800,1849700,2708100,2694000,2246500,2259800,2185800,2346400,2346900,2738000,2314100,3075900,2270000,2460000,2860000,2650000,3022700,3170000,2810000
"17161","India","Pineapples",768000,859000,1e+06,1010000,1060000,1200000,1250000,940000,1006000,1020000,1220000,1180000,1310000,1234200,1278900,1262600,1362000,1245000,1341000,1386800,1415000,1500000,1571000,1736740,1984000
"17162","India","Plantains and others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"17165","India","Plums and sloes",52000,54000,55000,56000,58000,62000,65000,66000,74000,78000,80000,90000,1e+05,140000,146332,160000,169723,180906,191404,2e+05,210000,215000,220000,225000,227556
"17167","India","Poppy seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17170","India","Potatoes",15205600,18195000,18479000,17392400,17401300,18843300,24215900,17652300,22494700,25000100,22242700,24456100,23161400,27925800,28787700,29174600,28599600,34658000,34390900,36577300,42339400,41483000,45343600,46395000,48009000
"17174","India","Pulses, nes",1506500,535100,1003500,1186500,1433000,1068000,1257000,1e+06,1120000,1160000,1300000,1e+06,618900,834500,649200,759300,7e+05,670000,7e+05,7e+05,7e+05,960000,1092000,1155000,988200
"17178","India","Pumpkins, squash and gourds",2933000,2950000,3100000,3075424,3150000,3200000,3300000,3350000,3400000,3450000,3500000,3602639,3699226,3797955,3898142,4136927,4260782,4390005,4518403,4640680,4756401,4900000,4900000,4988290,5028594
"17181","India","Rapeseed",5229300,5862500,4800000,5327900,5758000,5999500,6657900,4702900,5663900,5788400,4187200,5082600,3879800,6291400,7593100,8131200,7438000,5834000,7200700,6608100,8179000,6600000,7820000,7877000,6282000
"17185","India","Rice, paddy",112042000,109001200,120400000,122640000,115440000,122500000,123700000,129055000,134495904,127464896,139900000,107730304,132789000,124697104,137690096,139136992,144570000,148036000,135672992,143963008,157900000,157800000,159200000,157200000,156540000
"17189","India","Rubber, natural",329600,366700,367000,394000,472000,507000,550000,605000,622000,630000,631000,649435,711650,749665,802625,852895,825345,864500,831400,862000,8e+05,9e+05,9e+05,940000,950721
"17192","India","Safflower seed",320100,202800,348300,522000,423000,383300,432300,120000,242200,260400,202000,230000,178500,134900,173600,228600,240000,225000,189200,178800,150000,145000,109000,113000,90000
"17196","India","Seed cotton",5161000,6058000,5706000,6316000,6832000,7560000,5765000,6528000,6125000,5128000,5311000,4582000,7294000,8728000,9828000,12023000,13751000,11834000,12761000,17760000,19178000,18179000,18913000,18488000,16016000
"17199","India","Sesame seed",705900,760000,564000,590000,531000,640500,568100,527300,479900,517800,697800,441300,782100,674100,641100,618000,756900,640300,588400,893000,810000,685000,715000,828000,850000
"17203","India","Sorghum",8099000,12806000,11415000,8965000,9327000,10934000,7528000,8415400,8684900,7529400,7556800,7070000,7012400,6681300,7244300,7629600,7150800,7925900,7245600,6698200,7003100,5980000,5280000,5540000,5450000
"17207","India","Soybeans",2492000,3390000,4745200,3931900,5096000,5400000,6463100,7143000,7081400,5275800,5962700,4654700,7818900,6876300,8273500,8857000,10968000,9905400,9964500,12736000,12214000,14666000,11861000,10374000,8570000
"17211","India","Spices, nes",531700,591900,911100,815000,659000,785000,795000,890300,907800,945600,882200,738800,954700,966100,1075100,1020000,1104000,1063000,1029700,1474900,1699790,1496990,1500488,1504000,1292000
"17214","India","Sugar cane",241045504,2.54e+08,228030000,229670000,275540000,281100000,277560000,279541504,310332800,299323904,295956000,297207808,287383200,233861792,237088400,281171808,355519712,348187904,285029312,292301600,342382016,361036992,341200000,352142000,362333000
"17218","India","Sunflower seed",1194000,1182000,1350000,1220000,1260000,1250000,890000,943800,693600,646400,679500,872600,930400,1186700,1439000,1228000,1463000,1158000,850700,651000,517000,544000,504000,434000,296000
"17222","India","Sweet potatoes",1273500,1130700,1215500,1220600,1166100,1138100,1102200,1048100,1152400,1110600,1007400,1130300,1130300,1179100,1179400,1066500,1067200,1094000,1119700,1094700,1046600,1072800,1132400,1087880,1228000
"17225","India","Tea",720300,754200,703900,753000,753900,756000,780000,810000,874000,826000,847000,854000,846000,879000,907000,949000,973000,987000,972700,991182,1095460,1135070,1208780,1207310,1233140
"17228","India","Tobacco, unmanufactured",555900,584400,596500,562900,566700,535200,618000,646000,736200,520000,340000,550000,490000,549900,549100,552200,520000,490000,622830,690000,830000,820000,776339,720732,746756
"17231","India","Tomatoes",4244366,4849568,5e+06,4930000,5260000,6e+06,7e+06,6180000,8270000,7430000,7240000,7462300,7616700,8125600,8825400,9820400,10055000,10303000,11148800,12433200,16526000,18653000,18227000,18735910,16385000
