"","Area","Item","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"28401","Philippines","Melons, other (inc.cantaloupes)",4423,5290,9315,11020,7426,7991,9534,8598,7208,6349,6139,6712,7303,9695,11006,11433,11803,9889,8993,10852,9818,9406,8763,8925,7900
"28402","Philippines","Mushrooms and truffles",734,741,719,792,787,726,718,568,563,568,577,571,569,544,508,551,501,564,557,526,571,509,463,485,556
"28405","Philippines","Nuts, nes",2480,2441,2269,2280,2229,2391,2585,3225,2905,3946,3392,4391,4794,4939,5402,5116,5309,5853,6122,6637,7104,7933,8243,7316,7393
"28408","Philippines","Oil, palm fruit",185000,193000,195000,194000,189000,186000,186000,186000,199000,245000,288000,337975,355111,355874,354811,373435,414162,465995,516115,565460,540914,531294,473416,437439,432496
"28411","Philippines","Oilseeds nes",7818,8000,8200,8500,8463,9000,8637,8000,9000,9056,9226,9393,9657,9735,9891,10102,10238,10373,10510,10648,11000,11000,11000,11000,11294
"28414","Philippines","Okra",23801,25267,25465,28410,28886,30355,31009,24007,25174,25452,25160,25254,22992,24913,25958,26709,27886,29485,29710,29716,29129,29774,30122,30274,30638
"28417","Philippines","Onions, dry",60345,56708,61464,73635,88427,83322,85383,86978,84967,84216,82606,96358,93842,86741,82019,75978,146108,128923,127055,135377,128387,124890,134239,203651,181208
"28420","Philippines","Onions, shallots, green",6958,6728,5000,3000,2451,2000,1000,0,0,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1,1
"28423","Philippines","Oranges",9338,8884,8366,8258,8270,8705,9266,8531,8188,8021,8243,7804,7432,6293,5794,5234,5148,4870,4663,4337,3984,3827,3513,3325,3219
"28426","Philippines","Papayas",92764,93968,97537,104250,108409,113974,110112,107096,112862,121304,127787,127680,130764,133876,146628,157120,164234,182907,176656,165981,157907,164913,166336,172628,172650
"28429","Philippines","Peas, dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,1,1,1,1,0,0,0,0
"28432","Philippines","Peas, green",26000,27000,28000,29000,30000,27592,25000,28000,29200,27500,27757,27350,25984,7193,7478,7540,8000,7801,7689,7323,6864,6139,6267,5884,5498
"28435","Philippines","Pepper (piper spp.)",4136,4430,4349,2808,2664,4899,4581,4467,4537,4541,4720,4693,4587,4547,4418,3678,3270,3426,3432,3348,3369,3248,2716,2563,1847
"28438","Philippines","Pigeon peas",689,816,793,771,729,825,842,881,933,947,938,930,958,956,1039,1261,772,953,701,851,927,846,858,871,847
"28441","Philippines","Pineapples",1345599,1516685,1571811,1612327,1646268,1635744,1616113,1575145,1565878,1559563,1617906,1639161,1697952,1759813,1788218,1833908,2016462,2209336,2198497,2169233,2246806,2397745,2458528,2507098,2582699
"28444","Philippines","Plantains and others",3135527,3136339,3137150,3137962,3138774,3139586,3140397,3141209,3142021,3142833,3143644,3144456,3145268,3146080,3146891,3147703,3148515,3149327,3150138,3150950,3151762,3160006,3178357,3177784,3243805
"28447","Philippines","Potatoes",149537,155611,140998,147425,85302,84946,88907,64863,63584,63524,66016,67540,68050,69456,70160,69461,118497,121311,119159,124671,120574,119570,117722,119140,118479
"28451","Philippines","Pulses, nes",35000,34700,35700,35900,37000,35200,30500,29500,29000,28500,28000,27698,27691,27608,27122,27500,28000,30000,31000,31417,32000,33500,33500,33460,25815
"28454","Philippines","Pumpkins, squash and gourds",164740,166599,153081,151051,147559,156136,160815,144584,148916,143136,148412,151599,408485,397015,392961,371127,365698,356872,350546,342299,317571,315222,311987,305424,300645
"28457","Philippines","Ramie",2012,762,153,152,85,12,10,13,9,5,0,111,213,310,179,98,148,107,108,92,77,47,0,0,0
"28460","Philippines","Rice, paddy",9673262,9128940,9434208,10538054,10540649,11283568,11268963,8554824,11786625,12389412,12954870,13270653,13499884,14496784,14603005,15326706,16240194,16815548,16266417,15772319,16684062,18032525,18439420,18967826,18149838
"28464","Philippines","Roots and tubers, nes",16725,17112,16888,17122,17486,17839,17056,14795,16154,16140,16339,16429,14016,16580,16496,16435,16255,16564,16677,15480,15290,14904,13506,14221,14812
"28468","Philippines","Rubber, natural",180705,172518,174660,178829,181619,192697,221309,222750,214575,216309,264042,267712,273979,311294,315636,351556,404072,411044,390962,395237,425705,442998,444818,453052,398137
"28471","Philippines","Seed cotton",15514,37774,19214,7203,8093,6507,4273,3390,3151,1114,2489,4541,2231,4297,5157,2640,1360,738,127,35,51,77,55,11,6
"28474","Philippines","Sorghum",3959,2833,3604,4960,4003,5098,3232,7306,1113,643,417,154,181,183,183,87,170,239,251,254,365,884,727,693,653
"28477","Philippines","Soybeans",2284,1809,2133,2361,2983,1818,1615,1048,1041,953,897,991,974,978,988,1050,676,1015,842,812,684,567,807,695,545
"28481","Philippines","Spinach",337,502,517,517,511,518,552,533,570,550,548,552,536,532,569,522,383,517,535,506,524,562,590,678,689
"28484","Philippines","Strawberries",2700,2547,2547,2389,2423,1440,1280,1098,1143,1116,1138,1150,601,595,590,561,484,657,654,611,605,613,672,781,786
"28487","Philippines","String beans",21362,21583,22510,24313,24571,26598,25709,23903,26617,26172,26490,27938,124642,115774,116503,112871,116928,119934,119511,118454,116302,117277,119536,117544,118660
"28490","Philippines","Sugar cane",21824490,21005573,22915065,24695188,17774401,23142220,22273095,17333372,23777828,21223438,21708722,21417288,23978373,25579214,22917674,24345106,22235297,26601384,22932819,17929269,28376518,26395915,24584841,25029880,22926437
"28494","Philippines","Sweet potatoes",634556,648141,659136,667807,667946,654231,631405,554680,557386,554003,545408,549392,546971,545147,574629,566773,573734,572655,560516,541265,516338,516907,528250,519855,535996
"28497","Philippines","Tangerines, mandarins, clementines, satsumas",22419,20878,20279,20480,20657,27114,27192,23997,24378,19084,19626,20423,20266,19898,20360,24880,25281,22743,20376,18783,17697,16755,15287,14045,14064
"28500","Philippines","Taro (cocoyam)",106646,109211,106061,101480,104931,154448,153076,114342,97317,95932,96861,101155,100705,102274,109700,111942,113954,115956,115218,110761,110718,111561,112262,110365,111988
"28504","Philippines","Tobacco, unmanufactured",85182,117899,104786,56900,63705,64964,65396,62190,51692,49529,48173,50174,52903,48308,45093,38368,34289,32466,36383,40530,44944,48075,53753,61418,56193
"28507","Philippines","Tomatoes",177227,165423,138486,150632,155823,162644,166353,132984,145362,148101,146031,149259,150055,172344,173740,175596,188761,195810,198948,204272,203582,203593,207668,214573,214774
"28510","Philippines","Vegetables, fresh nes",3580000,3670000,3750000,3800000,3700000,4200000,3700000,3900000,4020000,4100000,4200000,4300000,4175181,3800000,4095847,4e+06,4281922,4391076,4500802,4614625,4800000,5e+06,5e+06,4946694,4991255
"28513","Philippines","Watermelons",103626,106283,101545,89433,82435,71599,66995,72173,63297,59382,58284,78935,92498,107057,115075,117254,125863,103248,97106,110238,101524,105095,130005,131530,148030
"28516","Philippines","Yams",26093,25662,27396,27098,26176,26391,26237,24199,25000,25611,24287,26238,27884,28526,29256,30074,29265,24185,22567,21892,17844,16429,14770,15245,13798
"28523","Philippines","Cereals,Total",14332247,13750627,14235789,15062260,14673162,15439998,15604612,12385314,16372331,16901159,17480299,17590069,18115690,19910353,19856348,21408902,22977304,23744012,23300701,22149369,23655648,25440478,25817441,26739122,25669246
"28527","Philippines","Citrus Fruit,Total",208769,213429,205744,209135,214828,251308,243429,251149,261109,256374,255136,256617,253702,248645,269864,267623,272848,266050,253397,246335,236026,230722,213902,209104,211061
"28530","Philippines","Coarse Grain, Total",4658985,4621687,4801581,4524206,4132513,4156430,4335649,3830490,4585706,4511747,4525429,4319416,4615806,5413569,5253343,6082196,6737110,6928464,7034284,6377050,6971586,7407952,7378021,7771296,7519408
"28533","Philippines","Fibre Crops Primary",71201,68680,64905,70742,70218,75993,72799,76887,78823,82896,78585,68872,75589,80374,79575,75317,72045,74006,71512,72186,74517,74457,70852,73953,74746
"28536","Philippines","Fruit excl Melons,Total",12555612,12804726,12979650,13251833,13315066,14492830,13696247,13231396,13659912,13957625,14409443,14825730,15076029,15299025,16031576,16347746,17547621,18853294,19130321,19216567,19290357,19532279,19058070,16235617,16468406
"28538","Philippines","Oilcakes Equivalent",921818,945585,953095,967836,1044458,974503,1112902,1039535,943203,1055953,1067866,1141871,1160027,1166202,1203488,1214601,1206769,1244082,1272148,1259110,1238008,1287224,1246639,1193947,1197116
"28541","Philippines","Oilcrops Primary",1482742,1521181,1532885,1554378,1678345,1566450,1794131,1676200,1518483,1701362,1720761,1840654,1869916,1879467,1939392,1956893,1943715,2003947,2049415,2028595,1994165,2074457,2008255,1922720,1927837
"28545","Philippines","Pulses,Total",61115,59083,60262,61255,64782,63190,59214,59156,59437,57232,57016,56302,55446,55886,55785,55620,58798,61570,60362,60236,66791,67615,67984,67612,60936
"28549","Philippines","Roots and Tubers,Total",2748437,2739469,2793535,2851441,2807744,2848630,2874686,2506700,2649756,2520922,2400947,2386493,2379868,2402503,2477805,2551541,2722843,2792245,2877856,2915523,2990448,3002552,3148071,3319081,3505991
"28553","Philippines","Treenuts,Total",100763,101553,100778,126028,155796,63987,175826,171784,114075,114965,114545,115614,116085,121849,121935,118187,117867,118187,118115,141318,140492,140474,154532,178169,212924
"28556","Philippines","Vegetables Primary",4535307,4606655,4667106,4748699,4651301,5159400,4700278,4791465,4915723,5003272,5109852,5271246,5508516,5145172,5448153,5329327,5779436,5849172,5937575,6080130,6209925,6415025,6462152,6484759,6522917
"28559","Philippines","Vegetables&Melons, Total",4535307,4606655,4667106,4748699,4651301,5159400,4700278,4791465,4915723,5003272,5109852,5271246,5508516,5145172,5448153,5329327,5779436,5849172,5937575,6080130,6209925,6415025,6462152,6484759,6522917
"30625","Rwanda","Avocados",NA,NA,NA,NA,NA,NA,NA,10000,22718,25187,15000,20000,30000,40000,50000,60000,70000,79291,141130,104594,106930,145000,120645,206785,125506
"30628","Rwanda","Bananas",3092900,3547200,2136000,1489000,2002000,2105000,2248419,2625485,2897433,2212250,1784058,2784870,2407837,2469740,2593080,2653348,2686000,2604000,2993482,2749152,3036273,3219465,3291853,2887440,2980546
"30631","Rwanda","Barley",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30635","Rwanda","Beans, dry",205000,180000,137000,34800,126000,174347,133715,153917,140426,215347,242157,246906,239394,198224,199648,283387,329000,308000,326532,327497,331166,432857,438236,415259,434077
"30639","Rwanda","Beans, green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2319,4626,5561,8050,5842,6562,7282,8002
"30642","Rwanda","Cabbages and other brassicas",NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,8000,10000,20000,30000,40000,50000,60000,70828,127944,115605,113386,120000,97036,83991,71421
"30645","Rwanda","Carrots and turnips",NA,NA,NA,NA,NA,NA,NA,NA,NA,500,1000,2000,3000,4000,5000,6000,7000,7889,20555,16463,16462,18500,15955,15106,14270
"30648","Rwanda","Cassava",396000,261000,291000,212000,148000,220638,202994,188182,316934,820992,788910,1031077,1003078,765748,781639,765198,779414,1681823,2019741,2377213,2579000,2716421,2948121,3165172,3356232
"30651","Rwanda","Chillies and peppers, green",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600,3902,4319,4577,5000,4685,4645,4584
"30654","Rwanda","Coffee, green",35000,38824,27510,1274,21952,15285,14830,14268,18800,16098,18366,19427,13805,20017,18597,22223,14683,20724,19372,19319,21820,19995,18346,16379,21808
"30657","Rwanda","Eggplants (aubergines)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5000,6000,8000,10000,15000,20000,25000,30000,30059,64291,60000,54632,75000,58870,53577,48248
"30660","Rwanda","Fruit, fresh nes",58900,61000,62000,55000,56511,57389,58000,59120,59000,60000,61220,62000,62716,63216,63000,64324,64000,65000,67780,70139,72653,80000,77558,74013,75044
"30663","Rwanda","Fruit, tropical fresh nes",2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,14328,15000,15705,16000,17546,18638,19598,20558,21518,22479,23439,24399,25360
"30666","Rwanda","Groundnuts, with shell",7000,6000,8000,16200,8300,7220,5049,4882,4706,7032,9635,10414,10275,10785,10099,9020,9921,11472,15353,14369,14756,11638,14414,10181,11148
"30670","Rwanda","Leeks, other alliaceous vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,500,700,800,1000,1200,1400,1600,1700,1822,403,1729,2500,2700,2493,2431,2499
"30673","Rwanda","Lemons and limes",NA,NA,NA,NA,NA,NA,NA,NA,NA,500,700,900,1100,1200,1400,1600,1800,2154,9081,10000,10272,12000,12800,14770,14872
"30676","Rwanda","Maize",104000,98000,87000,67000,56000,66595,83427,58618,54912,62501,80979,91686,78886,88209,97251,96662,101659,166853,286946,432404,525679,573038,667833,583096,370140
"30680","Rwanda","Mangoes, mangosteens, guavas",NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3500,4000,4500,5000,5500,6000,6500,6565,15253,16600,14410,13839,13268,12726,12189
"30683","Rwanda","Millet",503,405,430,610,828,1371,2000,3000,4000,4000,3949,4000,4000,4000,4000,4000,4011,4196,4187,4229,4271,4313,4356,4398,4440
"30687","Rwanda","Onions, dry",NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,2000,3000,4000,5000,6000,7000,8000,8331,11484,11731,12500,13000,13429,13877,14284
"30690","Rwanda","Oranges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1200,1400,1582,4722,5000,5158,5600,6059,7524,7363
"30693","Rwanda","Papayas",NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1500,2000,3000,4000,5000,6000,7000,7653,5828,5862,5868,6000,5413,5004,4583
"30696","Rwanda","Peas, dry",11000,11000,500,1200,3000,4350,10678,8563,8115,15342,16293,16027,17697,16759,18854,17643,19656,21689,33800,37999,33909,26555,27878,20276,16959
"30700","Rwanda","Pepper (piper spp.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1200,1400,1600,1800,2000,2200,2400,2600,446,2500,2750,2800,2506,2533,2565
"30703","Rwanda","Pineapples",NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,10000,12000,13000,14000,15000,16000,17000,31261,73400,76500,58609,42000,58734,40826,40941
"30706","Rwanda","Plantains and others",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30709","Rwanda","Potatoes",445000,347000,204159,114900,137700,195381,229625,181138,175889,957202,1012269,1038931,1099549,1072770,1314050,1275585,967283,1161943,1289623,1789404,2171518,2337706,2240715,1886082,1502759
"30713","Rwanda","Pumpkins, squash and gourds",82300,83200,84000,70000,77271,80000,1e+05,120000,150000,205675,210000,216626,215707,216872,218123,215000,221685,223763,225766,227718,229637,236000,230694,269951,273250
"30716","Rwanda","Pyrethrum, dried",915,779,721,668,618,573,531,493,457,420,321,289,265,244,225,207,189,172,13,7,16,184,353,494,644
"30719","Rwanda","Rapeseed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30722","Rwanda","Rice, paddy",16400,16100,13200,4500,2300,6596,9805,7935,8919,11654,15610,20976,27891,46191,62194,62932,62000,82000,81081,67253,80541,84079,93746,72723,97435
"30726","Rwanda","Seed cotton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30729","Rwanda","Sorghum",205000,112600,128100,54800,77300,102076,122204,120533,107566,155106,175904,184351,171587,163772,227927,187380,164000,144000,174553,161229,151754,138695,157492,140578,133295
"30733","Rwanda","Soybeans",18000,34000,12000,7115,8155,3302,6779,9831,8898,13922,16336,17088,19869,18251,23703,27138,39819,50931,54000,57089,37426,18544,24838,17901,21739
"30737","Rwanda","Spices, nes",69,70,76,80,83,87,91,94,98,102,105,109,112,115,118,121,148,125,124,124,123,110,128,131,132
"30740","Rwanda","Sugar cane",38000,21000,50000,10000,10000,15000,20000,30000,40000,40000,40000,45000,50000,60000,58665,58011,97010,63000,100663,115304,97452,97889,99157,100160,101433
"30743","Rwanda","Sweet potatoes",1e+06,1055200,997100,739300,550500,664601,741624,751141,862562,1032916,1156359,1292361,868204,908306,885648,777034,841000,826000,803228,840072,845099,1005305,1081224,940786,931027
"30746","Rwanda","Taro (cocoyam)",66500,103300,126300,140800,44800,62384,71716,83743,90247,90945,112871,122845,138810,136359,136895,125387,123299,130428,136849,185964,187248,130505,93392,66879,82237
"30749","Rwanda","Tea",13546,13644,11181,4136,5414,9057,13239,14875,12959,14481,17815,14893,15484,14493,16458,16976,20474,19965,20535,22249,24066,22503,22185,24751,25027
"30752","Rwanda","Tobacco, unmanufactured",3500,3535,3600,3743,3767,3753,3721,3700,3730,3800,3857,3900,3872,3800,3873,4000,4295,4653,5015,5377,5404,5000,4659,5106,5134
"30755","Rwanda","Tomatoes",NA,NA,NA,NA,NA,NA,NA,NA,NA,8000,10000,15000,20000,25000,30000,35000,40000,41035,129751,135000,120650,115000,117211,119194,121016
"30758","Rwanda","Vegetables, fresh nes",50653,50953,51254,51554,51275,51249,52000,53000,54000,55000,56000,56504,57000,58370,58000,60194,59000,62766,64737,71706,67604,66000,68289,69610,70110
"30761","Rwanda","Wheat",14800,12600,4800,3200,6000,6814,5997,4140,3607,6444,8269,7434,15305,16772,21942,19549,24633,67869,72479,77193,90684,75913,70129,68411,81179
"30765","Rwanda","Yams",2000,6000,8000,4000,5434,5973,5555,5272,5000,6000,7000,8000,9000,10000,11000,12928,13700,14492,15205,20663,18725,42469,78681,54718,67285
"30771","Rwanda","Cereals,Total",340703,239705,233530,130110,142428,183452,223433,194226,179004,239705,284711,308447,297669,318944,413314,370523,356303,464918,619246,742308,852929,876038,993556,869206,686490
"30775","Rwanda","Citrus Fruit,Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,500,700,900,1100,1200,2400,2800,3200,3736,13803,15000,15430,17600,18859,22293,22236
"30778","Rwanda","Coarse Grain, Total",309503,211005,215530,122410,134128,170042,207631,182151,166478,221607,260832,280037,254473,255981,329178,288042,269670,315049,465686,597862,681704,716046,829681,728072,507875
"30781","Rwanda","Fibre Crops Primary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30784","Rwanda","Fruit excl Melons,Total",3153800,3611200,2202000,1549000,2064511,2169389,2314419,2703605,2989151,2320937,1887978,2898770,2536481,2612156,2749685,2824472,2871246,2816144,3330274,3058405,3331691,3546383,3609769,3273487,3286405
"30786","Rwanda","Oilcakes Equivalent",16880,29140,12520,11777,9596,5352,7274,9622,8818,13671,16567,17457,19601,18517,22563,24867,35227,44595,48494,50561,35174,19072,25099,18011,21410
"30789","Rwanda","Oilcrops Primary",5340,7920,4560,6141,3958,2760,2735,3234,3013,4616,5831,6200,6659,6521,7296,7591,10144,12609,14326,14587,11163,6829,8795,6276,7257
"30793","Rwanda","Pulses,Total",216000,191000,137500,36000,129000,178697,144393,162480,148541,230689,258450,262933,257091,214983,218502,301030,348656,329689,360332,365496,365075,459412,466114,435535,451036
"30797","Rwanda","Roots and Tubers,Total",1909500,1772500,1626559,1211000,886434,1148977,1251514,1209476,1450632,2908055,3077409,3493214,3118641,2893183,3129232,2956132,2724696,3814686,4264646,5213316,5801589,6232406,6442131,6113638,5939540
"30801","Rwanda","Vegetables Primary",132953,134153,135254,121554,128546,131249,152000,173000,204000,280675,293700,311930,330707,355442,378523,399794,427385,451412,653458,649831,629998,657042,615223,639664,627685
"30804","Rwanda","Vegetables&Melons, Total",132953,134153,135254,121554,128546,131249,152000,173000,204000,280675,293700,311930,330707,355442,378523,399794,427385,451412,653458,649831,629998,657042,615223,639664,627685
"41202","World","Agave fibres nes",78453,59083,64868,64788,56965,66320,68454,54970,51595,50163,48667,49854,50063,53302,51980,48912,48223,46865,45845,44701,43750,40965,41465,41254,41118
"41205","World","Almonds, with shell",1287291,1318065,1275181,1384324,1047566,1291755,1592703,1310873,1657157,1452206,1541902,1838698,1759969,1594306,1824621,2062052,2249520,2482699,2345314,2570069,3021249,2825751,2840508,2635528,3066032
"41208","World","Anise, badian, fennel, coriander",237945,429122,407906,299554,306828,334889,368400,436015,404373,382515,479116,494921,569659,567343,557003,586413,698248,714681,728094,827412,952224,923817,906033,985965,1074269
"41212","World","Apples",35988096,44263660,47727080,46468250,48850699,54334848,55999458,54922564,56983822,59126604,57095797,55300062,58103779,62240883,61906796,63248649,65664124,69038683,71638940,71192145,77072356,78625948,82820750,85500042,86222250
"41215","World","Apricots",2028994,2482857,2296020,2516865,2088652,2562901,2403673,2498967,2639621,2860806,2641026,2615836,2891849,2784454,3623065,3462307,3294173,3685435,3756466,3305516,3818558,3865025,4093243,3338757,3965406
"41218","World","Areca nuts",496771,506557,541176,574490,622792,635873,648081,710553,698678,727458,767094,833020,874066,916247,956764,1025100,1056485,1074442,1102135,1081604,1096126,1340932,1166166,1191745,1340205
"41221","World","Artichokes",1328705,1249424,1170531,1208127,1161948,1135798,1256375,1251118,1245875,1330885,1259614,1278769,1279946,1369493,1284033,1423445,1495682,1501570,1524843,1480371,1528753,1616180,1608858,1575700,1453696
"41224","World","Asparagus",2139630,2228701,2699471,2921786,3005942,3321793,3501518,3654811,3960908,4640843,4966961,5751717,6272063,6621157,6706203,6931543,7092984,7216179,7364484,7487774,8190220,8281961,7934250,7875979,8551670
"41227","World","Avocados",2061190,2148056,1980898,2091365,2141405,2239397,2203735,2382273,2491741,2726168,2771718,2955870,3142625,3195611,3392655,3619147,3574449,3426294,3951319,3879484,4173951,4456290,4670163,5074260,5346968
"41230","World","Bambara beans",77682,79902,87072,92775,127706,84293,56263,71086,81474,61620,73923,80720,92453,75618,97633,103047,100624,136900,135894,151785,135605,156016,157247,155421,162817
"41234","World","Bananas",51197361,55619751,56368709,58060038,58752431,58034226,62769664,64915704,69950718,67215551,70057548,72916972,74944691,79405360,83666488,88653166,94418759,98764392,103423105,108665134,109430205,107810272,110514408,111310739,115239574
"41238","World","Barley",169576979,165527881,169537557,161013838,140719168,155011848,154358297,137406074,128080281,133107721,140594348,141025111,136539386,156262167,136737092,144486118,131134438,153795026,150769722,123303344,132733302,132213548,143421287,144487586,148455619
"41242","World","Bastfibres, other",716388,760795,776856,635374,615925,646086,575745,445891,407241,400738,438395,392765,351122,340245,336719,336722,360209,344337,292121,260086,273679,260262,253350,240954,236902
"41245","World","Beans, dry",18015992,17145092,16478073,17622597,17797786,17112479,16533690,16617610,17960894,17850853,18487075,20145275,21383396,18675718,19289063,21187039,21751804,21909737,22019848,24663067,24120029,24453279,24617270,26854288,27644185
"41249","World","Beans, green",6232165,6694093,6810063,6918003,8521659,8798529,8903803,9114611,9550263,9836801,10920459,11666203,12847873,13753714,15442315,17161160,17978601,18912454,19095423,19782082,20146329,20878968,21362776,21706858,23115149
"41252","World","Berries nes",458042,509307,505110,515006,515925,497446,490949,483058,490807,524700,548821,552357,649417,639527,689388,689813,728608,811270,796522,769929,846411,866582,869086,862858,844472
"41255","World","Blueberries",125966,115696,143241,133922,152649,154089,169761,153648,200713,206416,226191,196496,211784,225730,237636,262002,261281,309630,334734,323449,363586,397793,427760,511408,522363
"41258","World","Brazil nuts, with shell",59305,49631,50787,62039,62635,46398,52486,47183,68873,81204,78907,78032,78000,82063,89404,87739,91069,93551,102626,106082,109476,108405,108600,107799,113321
"41261","World","Broad beans, horse beans, dry",3355120,2768727,3522231,3619000,3605706,3675485,3412947,3784346,3546094,3777654,4148295,4325681,4537031,4307311,4435322,4080293,3881383,4272699,4288317,4326035,4564194,4436826,4439668,4239956,4299451
"41265","World","Buckwheat",3983960,4975131,4259560,3775893,3469649,3271627,3694915,3096826,2789537,3780857,2591975,1831261,2570975,2292753,2082813,1940679,2378859,2220119,1798383,1453880,2367160,2262982,2263765,1925288,2025420
"41269","World","Cabbages and other brassicas",40231662,39223240,42252605,42411884,44937865,48180549,48902677,49772812,53104097,75127583,71339462,68403307,67892788,66441130,65160795,64353979,62397140,64985789,65588067,65622933,69887197,67745599,68733211,70997938,70459086
"41273","World","Canary seed",194317,193466,204372,300664,216382,347375,168775,307289,217034,215063,150071,225499,300208,377926,296418,193605,216576,257815,254848,211135,201924,222470,195407,224922,232195
"41277","World","Carobs",286253,285962,279970,236907,255427,268814,253499,259137,249805,249278,199871,228480,190678,206019,204516,163294,178141,212192,181921,184159,195654,170926,152863,199727,162158
"41280","World","Carrots and turnips",14682050,15248027,16152324,16626222,17447712,18936739,20022673,20035845,20839472,21953741,22235415,23088596,25214024,26223921,27650249,29052963,30512522,33879552,34549014,34956864,36565572,37291861,38033338,38699332,41173211
"41284","World","Cashew nuts, with shell",1004303,932086,1039036,1174741,1281845,1373937,1506045,1409087,1833851,2049988,2060666,2349189,2581513,2898817,3195994,3512196,3690845,4002531,4034014,4019542,4396677,4361734,4458155,4451692,5087956
"41287","World","Cashewapple",1638210,1788000,1850068,1705000,1759764,1813710,1868000,1624017,1675714,1743632,1731368,1788219,1790596,1798898,1841586,1849605,1866007,1887257,1915551,1939209,1946788,1963628,1919403,1889934,1880195
"41290","World","Cassava",160406310,162007206,163185040,164499642,161781376,158349737,161745812,162613342,168847228,175846655,181686794,182645712,192216068,203832728,206534756,223636673,226974320,231076756,235000863,240698482,253426158,261435721,261510246,274331598,276608356
"41294","World","Cassava leaves",36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48557,50274,52000,55581,64827,71041,77378,85000,85000,89269,81463,76703,72613
"41297","World","Castor oil seed",1177595,1143722,1090155,1230205,1085283,1257478,1202854,1190391,1136236,1389193,1115719,870623,1248634,1294796,1498158,1166607,1451860,1622641,1412644,1741152,2742188,2245950,1935477,2088344,1987515
"41301","World","Cauliflowers and broccoli",9560757,10994259,10667980,12205041,12663145,13926977,14554537,14405564,15004992,15967572,15986605,16720553,17390602,17940848,17535408,18767736,19336354,19945503,20876600,21216994,21957584,22637449,23344795,24378193,24438294
"41304","World","Cereals, nes",2299470,1747860,1777443,1813212,1819578,2260135,2547245,1911593,2337776,2299659,2488199,2342489,2856954,3064679,4068146,3328904,3799315,3808606,4396810,5624483,4869357,5476533,6150540,6538283,7109386
"41308","World","Cherries",1257224,1754438,1703972,1627153,1627020,1794813,1635985,1635868,1822748,1898868,1815745,2094538,1716275,1697511,1843811,1903591,1990852,1857095,2158370,1998731,2155134,2189287,2276634,2154755,2253941
"41311","World","Cherries, sour",849346,1187328,1218745,992391,1032474,1161073,1079244,995621,987811,1118621,1122657,972700,1133237,1239129,1154237,1142337,1191962,1221332,1339856,1130850,1252156,1161333,1386996,1331884,1329443
"41314","World","Chestnut",626746,674885,638596,692238,677627,678446,790039,833239,886726,941163,942725,1038663,1132351,1265499,1368587,1496373,1604796,1796548,1907670,2002054,2041295,2057873,2092637,2057019,2044428
"41317","World","Chick peas",8119373,6646911,6751254,7145118,9173278,8111438,8340641,8872852,9467522,8041783,6943053,8442748,7054230,8470423,8481537,8441222,9690261,8655434,10419852,10866939,11619669,11521015,13288172,13399970,11036227
"41321","World","Chicory roots",406038,448587,411834,465301,611844,798666,793615,649330,920040,1075853,859147,865822,951714,987789,903170,661797,640550,677719,776632,642868,596082,500781,474552,493070,504373
"41324","World","Chillies and peppers, dry",1779073,1963981,1926336,1819471,1904123,2193073,2056955,2252369,2368128,2463463,2471516,2354203,2720886,2741274,2729487,2853898,2979146,3069503,3050836,3089561,3187135,3375988,3582143,3710851,4010023
