tas;"	Year"; Month; Country
19,5262;2008;12;IND
18,6935;2009;1;IND
21,3556;2009;2;IND
24,8618;2009;3;IND
28,7196;2009;4;IND
30,542;2009;5;IND
30,2758;2009;6;IND
27,6575;2009;7;IND
27,4751;2009;8;IND
26,954;2009;9;IND
25,0814;2009;10;IND
21,8254;2009;11;IND
18,8623;2009;12;IND
17,1528;2010;1;IND
20,569;2010;2;IND
26,0479;2010;3;IND
29,9188;2010;4;IND
30,9367;2010;5;IND
29,9059;2010;6;IND
27,6628;2010;7;IND
27,0722;2010;8;IND
26,552;2010;9;IND
25,6958;2010;10;IND
22,5287;2010;11;IND
17,7485;2010;12;IND
16,5939;2011;1;IND
19,9479;2011;2;IND
24,4743;2011;3;IND
27,3541;2011;4;IND
30,2931;2011;5;IND
29,044;2011;6;IND
27,4064;2011;7;IND
26,763;2011;8;IND
26,4944;2011;9;IND
25,5285;2011;10;IND
22,1691;2011;11;IND
18,5152;2011;12;IND
16,7365;2012;1;IND
19,5329;2012;2;IND
24,0837;2012;3;IND
28,0281;2012;4;IND
30,5945;2012;5;IND
30,3765;2012;6;IND
27,6659;2012;7;IND
26,5802;2012;8;IND
26,5004;2012;9;IND
24,7544;2012;10;IND
21,038;2012;11;IND
18,4889;2012;12;IND
17,0686;2013;1;IND
19,7613;2013;2;IND
24,3788;2013;3;IND
27,8826;2013;4;IND
30,8022;2013;5;IND
28,6156;2013;6;IND
26,9224;2013;7;IND
26,3956;2013;8;IND
26,8396;2013;9;IND
25,1562;2013;10;IND
20,9762;2013;11;IND
18,0772;2013;12;IND
17,1987;2014;1;IND
19,0067;2014;2;IND
23,3757;2014;3;IND
27,9459;2014;4;IND
29,5535;2014;5;IND
30,6068;2014;6;IND
27,893;2014;7;IND
27,2546;2014;8;IND
26,5108;2014;9;IND
25,3791;2014;10;IND
21,9367;2014;11;IND
17,7494;2014;12;IND
16,6115;2015;1;IND
20,2522;2015;2;IND
23,3404;2015;3;IND
27,162;2015;4;IND
30,6121;2015;5;IND
29,1138;2015;6;IND
27,5206;2015;7;IND
27,0912;2015;8;IND
27,2284;2015;9;IND
25,9414;2015;10;IND
22,3532;2015;11;IND
18,6159;2015;12;IND
