tas;"	Year"; Month; Country; ISO3; ISO2
19,8809;2005;7;RWA;;
20,6423;2005;8;RWA;;
20,8124;2005;9;RWA;;
20,2427;2005;10;RWA;;
21,8064;2005;11;RWA;;
22,2249;2005;12;RWA;;
20,1376;2006;1;RWA;;
20,3686;2006;2;RWA;;
20,3456;2006;3;RWA;;
20,5669;2006;4;RWA;;
18,4792;2006;5;RWA;;
19,9902;2006;6;RWA;;
19,7177;2006;7;RWA;;
20,8943;2006;8;RWA;;
19,4545;2006;9;RWA;;
21,2377;2006;10;RWA;;
21,1779;2006;11;RWA;;
19,7003;2006;12;RWA;;
19,8741;2007;1;RWA;;
21,5876;2007;2;RWA;;
20,8428;2007;3;RWA;;
21,1867;2007;4;RWA;;
21,1787;2007;5;RWA;;
18,9755;2007;6;RWA;;
19,0092;2007;7;RWA;;
19,6793;2007;8;RWA;;
20,6129;2007;9;RWA;;
20,7912;2007;10;RWA;;
18,2157;2007;11;RWA;;
20,3805;2007;12;RWA;;
20,4877;2008;1;RWA;;
21,2902;2008;2;RWA;;
20,567;2008;3;RWA;;
19,1157;2008;4;RWA;;
19,9744;2008;5;RWA;;
19,4207;2008;6;RWA;;
19,8997;2008;7;RWA;;
20,9091;2008;8;RWA;;
20,583;2008;9;RWA;;
19,9879;2008;10;RWA;;
21,4484;2008;11;RWA;;
19,1644;2008;12;RWA;;
22,1787;2009;1;RWA;;
20,865;2009;2;RWA;;
20,3421;2009;3;RWA;;
19,7118;2009;4;RWA;;
20,2689;2009;5;RWA;;
19,9982;2009;6;RWA;;
20,8476;2009;7;RWA;;
21,6179;2009;8;RWA;;
21,2993;2009;9;RWA;;
20,8913;2009;10;RWA;;
20,9696;2009;11;RWA;;
21,5431;2009;12;RWA;;
20,7673;2010;1;RWA;;
20,703;2010;2;RWA;;
19,8443;2010;3;RWA;;
21,7434;2010;4;RWA;;
20,0012;2010;5;RWA;;
20,1856;2010;6;RWA;;
19,7631;2010;7;RWA;;
20,3337;2010;8;RWA;;
20,9987;2010;9;RWA;;
20,4749;2010;10;RWA;;
21,1783;2010;11;RWA;;
21,0308;2010;12;RWA;;
20,4787;2011;1;RWA;;
21,1296;2011;2;RWA;;
21,2771;2011;3;RWA;;
20,9055;2011;4;RWA;;
20,504;2011;5;RWA;;
19,4149;2011;6;RWA;;
19,9479;2011;7;RWA;;
19,338;2011;8;RWA;;
20,1802;2011;9;RWA;;
19,4987;2011;10;RWA;;
19,0167;2011;11;RWA;;
20,7341;2011;12;RWA;;
18,5049;2012;1;RWA;;
22,1276;2012;2;RWA;;
19,9042;2012;3;RWA;;
19,7646;2012;4;RWA;;
19,3665;2012;5;RWA;;
19,1026;2012;6;RWA;;
19,6012;2012;7;RWA;;
19,2996;2012;8;RWA;;
21,5106;2012;9;RWA;;
21,1938;2012;10;RWA;;
19,4828;2012;11;RWA;;
20,7145;2012;12;RWA;;
19,8985;2013;1;RWA;;
19,9991;2013;2;RWA;;
20,6793;2013;3;RWA;;
17,6878;2013;4;RWA;;
20,2941;2013;5;RWA;;
19,1106;2013;6;RWA;;
20,6779;2013;7;RWA;;
19,2644;2013;8;RWA;;
21,6335;2013;9;RWA;;
19,6668;2013;10;RWA;;
20,2546;2013;11;RWA;;
20,4023;2013;12;RWA;;
20,1597;2014;1;RWA;;
21,5017;2014;2;RWA;;
20,4995;2014;3;RWA;;
18,9785;2014;4;RWA;;
20,9722;2014;5;RWA;;
20,553;2014;6;RWA;;
20,606;2014;7;RWA;;
19,9942;2014;8;RWA;;
19,9542;2014;9;RWA;;
20,1451;2014;10;RWA;;
19,2946;2014;11;RWA;;
19,9005;2014;12;RWA;;
19,1499;2015;1;RWA;;
19,9679;2015;2;RWA;;
19,3557;2015;3;RWA;;
19,749;2015;4;RWA;;
19,4751;2015;5;RWA;;
19,5327;2015;6;RWA;;
19,9668;2015;7;RWA;;
19,6552;2015;8;RWA;;
19,8384;2015;9;RWA;;
21,4652;2015;10;RWA;;
19,5451;2015;11;RWA;;
20,0184;2015;12;RWA;;
